,memory,type,is_cold,exec_time,connection_time,client_time,provider_time,mem_used,Platform,id
0,256,burst,True,563905,0.046881,897223,583710,52.0,AWS,501
1,256,burst,True,545653,0.050314,957617,565540,52.0,AWS,501
2,256,burst,True,580014,0.046058,919211,599900,52.0,AWS,501
3,256,burst,True,561998,0.048611,957503,581960,52.0,AWS,501
4,256,burst,True,559017,0.047103,912227,561760,51.0,AWS,501
5,256,burst,True,548930,0.040606,889950,568540,52.0,AWS,501
6,256,burst,True,553692,0.036964,887660,572570,52.0,AWS,501
7,256,burst,True,580247,0.043998,981931,600090,52.0,AWS,501
8,256,burst,True,617024,0.044014,947663,636990,51.0,AWS,501
9,256,burst,True,589149,0.040053,926124,608990,52.0,AWS,501
10,256,burst,True,578392,0.04688,966818,597810,52.0,AWS,501
11,256,burst,True,547307,0.050346,912240,566900,52.0,AWS,501
12,256,burst,True,563787,0.050169,957273,583610,52.0,AWS,501
13,256,burst,True,596973,0.037373,981633,617160,52.0,AWS,501
14,256,burst,True,542631,0.048924,889598,544990,52.0,AWS,501
15,256,burst,True,567808,0.048772,957633,587600,52.0,AWS,501
16,256,burst,True,532047,0.047722,957403,551770,52.0,AWS,501
17,256,burst,True,587178,0.039986,952814,607050,52.0,AWS,501
18,256,burst,True,529669,0.051442,889312,532110,52.0,AWS,501
19,256,burst,True,594970,0.038962,950335,614800,52.0,AWS,501
20,256,burst,True,591016,0.046454,963446,610870,52.0,AWS,501
21,256,burst,True,558160,0.045857,894820,577840,52.0,AWS,501
22,256,burst,True,590501,0.048557,959868,610420,51.0,AWS,501
23,256,burst,True,521733,0.044396,847959,540280,51.0,AWS,501
24,256,burst,True,599217,0.046793,952433,619210,52.0,AWS,501
25,256,burst,True,590880,0.046188,934997,610950,52.0,AWS,501
26,256,burst,True,567907,0.039338,883322,587480,52.0,AWS,501
27,256,burst,True,568715,0.051851,938495,588330,52.0,AWS,501
28,256,burst,True,561379,0.04905,958463,581180,52.0,AWS,501
29,256,burst,True,592772,0.046465,964021,595620,52.0,AWS,501
30,256,burst,True,543601,0.050091,957556,563520,52.0,AWS,501
31,256,burst,True,580396,0.050298,937426,600080,52.0,AWS,501
32,256,burst,True,610340,0.046299,967609,613010,52.0,AWS,501
33,256,burst,True,587302,0.049837,948248,607060,52.0,AWS,501
34,256,burst,True,573855,0.044397,982075,593840,51.0,AWS,501
35,256,burst,True,586416,0.035153,897584,589210,52.0,AWS,501
36,256,burst,True,579408,0.043515,863272,581830,52.0,AWS,501
37,256,burst,True,559298,0.047924,957197,578690,52.0,AWS,501
38,256,burst,True,546057,0.043374,847453,566000,51.0,AWS,501
39,256,burst,True,552516,0.050416,889887,555080,51.0,AWS,501
40,256,burst,True,543993,0.045956,871979,563960,51.0,AWS,501
41,256,burst,True,595095,0.046236,940818,615990,52.0,AWS,501
42,256,burst,True,595380,0.043997,983937,615090,51.0,AWS,501
43,256,burst,True,584069,0.04012,929176,603630,52.0,AWS,501
44,256,burst,True,600247,0.043998,981786,602800,52.0,AWS,501
45,256,burst,True,576614,0.045995,894138,579140,52.0,AWS,501
46,256,burst,True,579871,0.039241,957505,582560,51.0,AWS,501
47,256,burst,True,562057,0.0398,890498,581920,52.0,AWS,501
48,256,burst,True,579469,0.038521,901904,599460,51.0,AWS,501
49,256,burst,True,553519,0.047133,885649,573730,52.0,AWS,501
50,256,warm,False,313,0.069703,116285,1960,52.0,AWS,501
51,256,warm,False,319,0.038407,86534,2280,52.0,AWS,501
52,256,warm,False,346,0.035878,79100,1950,52.0,AWS,501
53,256,warm,False,303,0.042357,93139,7660,52.0,AWS,501
54,256,warm,False,332,0.03497,98367,2070,52.0,AWS,501
55,256,warm,False,335,0.051731,85733,1980,52.0,AWS,501
56,256,warm,False,348,0.042419,75363,1850,52.0,AWS,501
57,256,warm,False,325,0.04537,99985,2050,52.0,AWS,501
58,256,warm,False,266,0.040976,93293,3880,52.0,AWS,501
59,256,warm,False,348,0.042113,82496,13350,52.0,AWS,501
60,256,warm,False,312,0.043816,91744,1990,52.0,AWS,501
61,256,warm,False,315,0.048142,89076,1800,52.0,AWS,501
62,256,warm,False,313,0.051232,83662,1850,52.0,AWS,501
63,256,warm,False,269,0.05565,91134,1440,52.0,AWS,501
64,256,warm,False,326,0.04133,95739,2100,52.0,AWS,501
65,256,warm,False,315,0.042438,84749,2160,52.0,AWS,501
66,256,warm,False,312,0.040792,83937,1910,52.0,AWS,501
67,256,warm,False,311,0.046636,98453,1820,52.0,AWS,501
68,256,warm,False,330,0.071475,118991,1940,52.0,AWS,501
69,256,warm,False,314,0.045495,95998,1750,52.0,AWS,501
70,256,warm,False,330,0.035118,95362,1930,52.0,AWS,501
71,256,warm,False,330,0.041375,83208,1970,52.0,AWS,501
72,256,warm,False,313,0.042576,98132,1980,52.0,AWS,501
73,256,warm,False,327,0.040627,93841,2190,52.0,AWS,501
74,256,warm,False,307,0.044078,104130,5070,52.0,AWS,501
75,256,warm,False,339,0.042743,92854,2080,52.0,AWS,501
76,256,warm,False,330,0.04372,88285,2080,52.0,AWS,501
77,256,warm,False,316,0.044781,94011,1740,52.0,AWS,501
78,256,warm,False,316,0.043524,95334,2050,52.0,AWS,501
79,256,warm,False,317,0.042743,118859,1850,52.0,AWS,501
80,256,warm,False,286,0.044989,86437,11900,52.0,AWS,501
81,256,warm,False,312,0.042377,83267,2040,52.0,AWS,501
82,256,warm,False,312,0.039505,83208,1820,52.0,AWS,501
83,256,warm,False,347,0.035083,74896,1940,52.0,AWS,501
84,256,warm,False,312,0.042073,72584,2140,52.0,AWS,501
85,256,warm,False,307,0.045352,103918,1930,52.0,AWS,501
86,256,warm,False,345,0.045884,115448,3530,52.0,AWS,501
